iter	Passed	Remaining
622	3935	2381
623	3937	2372
624	3940	2364
625	3943	2356
626	3946	2347
627	3952	2341
628	3955	2332
629	3958	2324
630	3960	2316
631	3965	2309
632	3968	2300
633	3972	2293
634	3974	2284
635	3977	2276
636	3983	2269
637	3985	2261
638	3988	2253
639	3991	2245
640	3997	2238
641	4000	2230
642	4003	2222
643	4006	2214
644	4012	2208
645	4015	2200
646	4017	2192
647	4020	2184
648	4023	2176
649	4029	2169
650	4031	2161
651	4034	2153
652	4037	2145
653	4040	2137
654	4043	2129
655	4046	2121
656	4049	2114
657	4052	2106
658	4058	2100
659	4062	2092
660	4065	2085
661	4078	2082
662	4081	2074
663	4092	2070
664	4095	2063
665	4098	2055
666	4103	2048
667	4106	2040
668	4109	2033
669	4112	2025
670	4115	2017
671	4120	2011
672	4123	2003
673	4126	1995
674	4129	1988
675	4134	1981
676	4137	1974
677	4141	1966
678	4145	1959
679	4150	1953
680	4152	1945
681	4155	1937
682	4158	1930
683	4167	1925
684	4170	1917
685	4176	1911
686	4181	1905
687	4183	1897
688	4187	1890
689	4190	1882
690	4193	1875
691	4198	1868
692	4202	1861
693	4204	1853
694	4207	1846
695	4212	1839
696	4215	1832
697	4218	1825
698	4221	1817
699	4224	1810
700	4226	1802
701	4230	1795
702	4233	1788
703	4238	1781
704	4242	1775
705	4244	1767
706	4246	1759
707	4248	1752
708	4252	1745
709	4255	1738
710	4259	1731
711	4262	1724
712	4264	1716
713	4272	1711
714	4276	1704
715	4279	1697
716	4292	1694
717	4295	1687
718	4303	1681
719	4307	1675
720	4309	1667
721	4312	1660
722	4321	1655
723	4324	1648
724	4328	1641
725	4337	1637
726	4340	1629
727	4342	1622
728	4386	1630
729	4389	1623
730	4393	1616
731	4396	1609
732	4403	1603
733	4426	1604
734	4430	1597
735	4437	1591
736	4440	1584
737	4447	1578
738	4450	1571
739	4452	1564
740	4454	1556
741	4457	1549
742	4461	1543
743	4464	1536
744	4468	1529
745	4470	1522
746	4477	1516
747	4481	1509
748	4484	1502
749	4499	1499
750	4502	1492
751	4516	1489
752	4524	1484
753	4527	1477
754	4530	1470
755	4532	1462
756	4534	1455
757	4542	1450
758	4544	1442
759	4547	1436
760	4550	1428
761	4558	1423
762	4563	1417
763	4569	1411
764	4573	1404
765	4575	1397
766	4578	1390
767	4580	1383
768	4586	1377
769	4589	1370
770	4592	1363
771	4594	1357
772	4598	1350
773	4602	1343
774	4605	1337
775	4608	1330
776	4615	1324
777	4618	1317
778	4622	1311
779	4629	1305
780	4637	1300
781	4642	1294
782	4645	1287
783	4648	1280
784	4652	1274
785	4658	1268
786	4660	1261
787	4663	1254
788	4666	1247
789	4674	1242
790	4677	1235
791	4680	1229
792	4683	1222
793	4703	1220
794	4706	1213
795	4709	1206
796	4711	1200
797	4714	1193
798	4719	1187
799	4722	1180
800	4725	1173
801	4728	1167
802	4731	1160
803	4735	1154
804	4739	1148
805	4741	1141
806	4757	1137
807	4760	1131
808	4762	1124
809	4768	1118
810	4771	1111
811	4773	1105
812	4777	1098
813	4782	1092
814	4785	1086
815	4788	1079
816	4807	1076
817	4809	1070
818	4815	1064
819	4817	1057
820	4820	1050
821	4822	1044
822	4825	1037
823	4830	1031
824	4833	1025
825	4835	1018
826	4838	1012
827	4865	1010
828	4867	1004
829	4871	997
830	4874	991
831	4879	985
832	4883	979
833	4886	972
834	4893	966
835	4895	960
836	4898	953
837	4901	947
838	4904	941
839	4907	934
840	4911	928
841	4914	922
842	4919	916
843	4921	909
844	4924	903
845	4926	896
846	4929	890
847	4934	884
848	4949	880
849	4952	873
850	4954	867
