iter	Passed	Remaining
388	1044	1640
389	1047	1637
390	1050	1636
391	1052	1632
392	1055	1630
393	1058	1627
394	1060	1624
395	1062	1620
396	1064	1617
397	1067	1614
398	1069	1611
399	1072	1608
400	1074	1604
401	1078	1603
402	1081	1602
403	1086	1602
404	1090	1601
405	1094	1600
406	1097	1599
407	1100	1596
408	1101	1592
409	1103	1588
410	1106	1585
411	1107	1581
412	1111	1579
413	1114	1576
414	1116	1573
415	1118	1570
416	1120	1567
417	1123	1563
418	1125	1560
419	1127	1557
420	1130	1554
421	1132	1551
422	1135	1548
423	1136	1544
424	1139	1541
425	1140	1537
426	1142	1533
427	1144	1529
428	1146	1525
429	1147	1521
430	1149	1517
431	1151	1513
432	1154	1511
433	1156	1508
434	1158	1505
435	1160	1501
436	1162	1497
437	1164	1494
438	1167	1491
439	1169	1488
440	1171	1484
441	1172	1480
442	1174	1476
443	1177	1474
444	1179	1471
445	1182	1468
446	1184	1465
447	1186	1462
448	1189	1460
449	1191	1456
450	1194	1453
451	1196	1450
452	1198	1447
453	1201	1444
454	1203	1441
455	1206	1438
456	1207	1435
457	1210	1432
458	1213	1430
459	1216	1427
460	1218	1424
461	1221	1422
462	1224	1419
463	1227	1417
464	1229	1414
465	1231	1411
466	1233	1408
467	1236	1405
468	1238	1402
469	1241	1400
470	1244	1398
471	1248	1396
472	1250	1393
473	1253	1390
474	1255	1387
475	1258	1385
476	1260	1382
477	1263	1379
478	1264	1375
479	1266	1372
480	1269	1369
481	1271	1366
482	1272	1362
483	1274	1358
484	1276	1355
485	1278	1352
486	1280	1349
487	1282	1345
488	1284	1342
489	1286	1338
490	1288	1335
491	1290	1332
492	1292	1328
493	1293	1325
494	1296	1322
495	1298	1319
496	1300	1315
497	1302	1312
498	1303	1308
499	1305	1305
500	1307	1301
501	1309	1298
502	1311	1295
503	1313	1292
504	1315	1289
505	1317	1286
506	1319	1283
507	1321	1279
508	1323	1276
509	1325	1273
510	1327	1270
511	1329	1267
512	1331	1264
513	1334	1261
514	1336	1258
515	1338	1255
516	1340	1252
517	1342	1249
518	1345	1247
519	1347	1243
520	1349	1240
521	1350	1237
522	1352	1233
523	1354	1230
524	1357	1227
525	1358	1224
526	1360	1221
527	1362	1217
528	1364	1214
529	1366	1211
530	1368	1208
531	1370	1205
532	1372	1202
533	1375	1199
534	1376	1196
535	1379	1193
536	1381	1190
537	1383	1187
538	1385	1185
539	1387	1182
540	1389	1179
541	1392	1176
542	1394	1173
543	1395	1170
544	1398	1167
545	1399	1164
546	1401	1160
547	1404	1158
548	1407	1156
549	1410	1153
550	1412	1150
551	1413	1147
552	1416	1144
553	1418	1142
554	1421	1139
555	1423	1136
556	1425	1133
557	1428	1131
558	1431	1129
559	1433	1126
560	1435	1123
561	1437	1120
562	1439	1117
563	1441	1114
564	1443	1111
565	1445	1108
566	1447	1105
567	1449	1102
568	1450	1099
569	1452	1095
570	1454	1093
571	1456	1089
572	1458	1086
573	1460	1083
574	1461	1080
575	1463	1077
576	1465	1074
577	1468	1072
578	1470	1068
579	1472	1066
580	1474	1063
581	1475	1059
582	1478	1057
583	1480	1054
584	1482	1051
585	1485	1049
586	1487	1046
587	1488	1043
588	1490	1040
589	1493	1037
590	1495	1034
591	1497	1032
592	1499	1029
593	1502	1026
594	1504	1023
595	1506	1021
596	1509	1018
597	1511	1015
598	1514	1013
599	1515	1010
600	1517	1007
601	1519	1004
602	1521	1001
603	1523	998
604	1525	995
605	1527	993
606	1530	990
607	1532	987
608	1534	985
609	1536	982
610	1538	979
611	1539	976
612	1541	973
613	1543	970
614	1545	967
615	1548	965
616	1550	962
617	1553	960
618	1555	957
619	1557	954
620	1559	951
621	1561	948
622	1563	945
623	1565	943
624	1568	941
625	1570	938
626	1571	935
627	1573	932
628	1575	929
629	1577	926
630	1579	923
631	1581	920
632	1583	917
633	1584	914
634	1586	912
635	1588	909
636	1590	906
637	1593	903
638	1595	901
639	1596	898
640	1598	895
641	1600	892
642	1602	889
643	1604	886
644	1606	884
645	1608	881
646	1611	878
647	1612	876
648	1614	873
649	1616	870
650	1618	867
651	1620	864
652	1622	862
653	1624	859
654	1626	856
655	1628	853
656	1630	851
657	1632	848
658	1635	846
659	1637	843
660	1639	840
661	1641	837
662	1642	835
663	1644	832
664	1646	829
665	1648	826
666	1650	823
667	1652	821
668	1654	818
669	1656	815
670	1657	812
671	1659	810
672	1661	807
673	1663	804
674	1665	801
675	1667	799
676	1669	796
677	1671	793
678	1672	790
679	1674	788
680	1676	785
681	1678	782
682	1680	779
683	1682	777
684	1684	774
685	1686	772
686	1688	769
687	1690	766
688	1692	764
689	1694	761
690	1696	758
691	1698	755
692	1701	753
693	1703	751
694	1705	748
695	1707	745
696	1709	743
697	1712	740
698	1713	737
699	1715	735
700	1717	732
701	1721	730
702	1724	728
703	1726	725
704	1728	723
705	1729	720
706	1732	718
707	1735	715
708	1737	713
709	1739	710
710	1741	707
711	1743	705
712	1745	702
713	1748	700
714	1750	697
715	1753	695
716	1755	692
717	1756	690
718	1759	687
719	1761	684
720	1763	682
721	1765	679
722	1767	677
723	1769	674
724	1771	671
725	1773	669
726	1775	666
727	1777	663
728	1779	661
729	1781	658
730	1782	656
731	1784	653
732	1786	650
733	1789	648
734	1791	645
735	1792	643
736	1795	640
737	1798	638
738	1799	635
739	1801	633
740	1804	630
741	1806	628
742	1808	625
743	1810	622
744	1812	620
745	1814	617
746	1816	615
747	1818	612
748	1820	610
749	1822	607
750	1824	604
751	1826	602
752	1827	599
753	1829	597
754	1832	594
755	1834	592
756	1837	589
757	1839	587
758	1841	584
759	1843	582
760	1845	579
761	1847	577
762	1849	574
763	1851	572
764	1853	569
765	1855	566
766	1857	564
767	1858	561
768	1860	558
769	1862	556
770	1864	553
771	1866	551
772	1868	548
773	1870	546
774	1872	543
775	1874	541
776	1876	538
777	1879	536
778	1881	533
779	1884	531
780	1885	528
781	1888	526
782	1890	523
783	1892	521
784	1895	519
785	1898	516
786	1900	514
787	1902	511
788	1904	509
789	1906	506
790	1907	504
791	1910	501
792	1912	499
793	1914	496
794	1916	494
795	1917	491
796	1919	489
797	1921	486
798	1924	484
799	1926	481
800	1928	479
801	1930	476
802	1932	474
803	1934	471
804	1936	469
805	1938	466
806	1940	464
807	1943	461
808	1944	459
809	1946	456
810	1949	454
811	1951	451
812	1953	449
813	1956	447
814	1958	444
815	1960	442
816	1962	439
817	1964	437
818	1967	434
819	1969	432
820	1971	429
821	1972	427
822	1974	424
823	1977	422
824	1979	419
825	1981	417
826	1983	414
827	1985	412
828	1987	409
829	1989	407
830	1991	405
831	1993	402
832	1996	400
833	1997	397
834	2000	395
835	2001	392
836	2003	390
837	2005	387
838	2007	385
839	2010	382
840	2012	380
841	2013	377
842	2015	375
843	2017	372
844	2019	370
845	2021	368
846	2024	365
847	2026	363
848	2028	360
849	2030	358
850	2031	355
851	2033	353
852	2036	350
853	2038	348
854	2040	346
855	2042	343
856	2043	341
857	2046	338
858	2048	336
859	2051	333
860	2053	331
861	2056	329
862	2057	326
863	2059	324
864	2062	321
865	2064	319
866	2066	316
867	2068	314
868	2070	312
869	2072	309
870	2073	307
871	2075	304
872	2078	302
873	2079	299
874	2081	297
875	2084	295
876	2086	292
877	2087	290
878	2089	287
879	2092	285
880	2093	282
881	2095	280
882	2097	277
883	2099	275
884	2102	273
885	2104	270
886	2106	268
887	2108	265
888	2110	263
889	2112	261
890	2113	258
891	2115	256
892	2117	253
893	2119	251
894	2121	248
895	2123	246
896	2125	244
897	2127	241
898	2129	239
899	2131	236
900	2133	234
901	2135	232
902	2137	229
903	2139	227
904	2141	224
905	2144	222
906	2146	220
907	2148	217
908	2150	215
909	2152	212
910	2154	210
911	2156	208
912	2158	205
913	2160	203
914	2162	200
915	2164	198
916	2166	196
917	2168	193
918	2170	191
919	2172	188
920	2174	186
921	2177	184
922	2179	181
923	2182	179
924	2184	177
925	2185	174
926	2187	172
927	2189	169
928	2191	167
929	2194	165
930	2197	162
931	2199	160
932	2201	158
933	2203	155
934	2204	153
935	2206	150
936	2209	148
937	2211	146
938	2213	143
939	2214	141
940	2216	138
941	2218	136
942	2220	134
943	2222	131
944	2224	129
945	2226	127
946	2228	124
947	2230	122
948	2231	119
949	2233	117
950	2236	115
951	2238	112
952	2240	110
953	2241	108
954	2243	105
955	2245	103
956	2247	101
957	2249	98
958	2251	96
959	2253	93
960	2255	91
961	2257	89
962	2259	86
963	2261	84
964	2264	82
965	2266	79
966	2268	77
967	2270	75
968	2272	72
969	2274	70
970	2277	68
971	2279	65
972	2281	63
973	2283	60
974	2284	58
975	2286	56
976	2289	53
977	2291	51
978	2294	49
979	2295	46
980	2297	44
981	2299	42
982	2301	39
983	2303	37
984	2306	35
985	2308	32
986	2310	30
987	2312	28
988	2314	25
989	2316	23
990	2318	21
991	2320	18
992	2323	16
993	2324	14
994	2326	11
995	2328	9
996	2330	7
997	2332	4
998	2334	2
999	2336	0
